Buchungstag;Valuta;Auftraggeber/Empfänger;IBAN;Buchungstext;Verwendungszweck;Betrag;Währung
01.07.2026;01.07.2026;PayPal Europe S.a.r.l. et Cie S.C.A;LU8975000000000000000;ÜBERWEISUNG;PayPal Abbuchung Juli; -500,00;EUR
03.07.2026;03.07.2026;MediaMarkt Saturn;DE89370400440532013000;KARTENZAHLUNG;PS5 Slim Konsole Bundle; -449,00;EUR
05.07.2026;05.07.2026;DHL Paket GmbH;DE12500105170648489890;LASTSCHRIFT;DHL Versand Juli Rechnung; -48,90;EUR
08.07.2026;08.07.2026;PayPal (Europe) S.a.r.l.;LU8975000000000000000;GUTSCHRIFT;Bankgutschrift von PayPal; 1200,00;EUR
10.07.2026;10.07.2026;Amazon Payments Europe;DE02120300000000202051;GUTSCHRIFT;Amazon Marketplace Auszahlung Juli; 890,50;EUR
12.07.2026;12.07.2026;Elektro Großhandel GmbH;DE44500105175407324931;ÜBERWEISUNG;Lieferung Waren Rechnung 7781; -320,00;EUR
15.07.2026;15.07.2026;Kunde Müller GmbH;DE89370400440532013000;GUTSCHRIFT;Zahlung Rechnung 4521; 450,00;EUR
18.07.2026;18.07.2026;UPS Deutschland;DE12500105170648489890;LASTSCHRIFT;UPS Express Versand; -62,40;EUR
22.07.2026;22.07.2026;Sony Europe B.V.;DE89370400440532013000;KARTENZAHLUNG;Sony Alpha Kamera Lumix Zubehör; -799,00;EUR
28.07.2026;28.07.2026;Deutsche Post AG;DE12500105170648489890;LASTSCHRIFT;Porto Briefsendungen; -12,80;EUR
